Week,Date,Block,Plot,Position,Plant,Chemotype,Plottype,M_fuscoviride_apterous,M_fuscoviride_alate,M_tanacetaria_apterous,M_tanacetaria_alate,U_tanaceti_apterous,U_tanaceti_alate,U_tanaceti_WN,Ant_MF,Antnest,Ant_total,Counted_by,Notes
1,05.05.2021,6,9,5,17_156_B,ABThu,1,,,,,,,,,,,Liv,
1,06.05.2021,6,10,1,9_35_A,ABThu,0,,,,,,,,,,1,Liv,
1,06.05.2021,6,10,2,17_68_A,ABThu,0,,,,,,,,,,2,Liv,
1,06.05.2021,6,10,3,29_160_A,ABThu,0,,,,,,,,,,2,Liv,
1,06.05.2021,6,10,4,16_167_A,ABThu,0,,,,,,,,,,1,Liv,
1,06.05.2021,6,10,5,17_156_A,ABThu,0,,,,,,,,,,2,Liv,
2,12.05.2021,1,1,1,14_10_A,Myrox,0,,,,,,,,,,2,Liv,
2,12.05.2021,1,1,2,18_22_A,Myrox,0,,,,,,,,,,1,Liv,
2,12.05.2021,1,1,3,22_16_A,Myrox,0,,,,,,,,,,1,Liv,
2,12.05.2021,1,1,4,7_156_A,Myrox,0,,,,,,,,,,2,Liv,
2,12.05.2021,1,1,5,26_5_A,Myrox,0,,,,,,,,,,3,Liv,
