ID_unique,Plottype,Plant,Block,Plot,Position,Motherplant,Chemotype,Comp_ID,Comp_name,Peak_area,Percent,Norm_weight
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,12,sabinene_hydrate_E,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,14,sabinene_hydrate_Z,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,19,sabinol_Z,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,1,santolina_triene,17543863,35.97479538,1790190.102
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,11,terpinene_g,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,30,terpinenyl_1_4_acetate,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,29,terpineol,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,15,thujone_a,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,16,thujone_b,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,27,umbellulone,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,18,artemiseol,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,49,epicubenol,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,40,unknown_sesquiterpenoid_1,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,43,unknown_sesquiterpenoid_2,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,44,unknown_sesquiterpenoid_3,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,45,unknown_sesquiterpenoid_4,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,47,unknown_sesquiterpenoid_5,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,48,unknown_sesquiterpenoid_6,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,50,unknown_sesquiterpenoid_7,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,51,unknown_sesquiterpenoid_8,160075,0.328243863,16334.18367
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,52,unknown_sesquiterpenoid_9,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,46,trans_pinocarvyl_acetate,1334992,2.737485127,136223.6735
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,26,verbenol,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,33,verbenyl_acetate_E,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,34,verbenyl_acetate_Z,650332,1.333546701,66360.40816
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,7,yomogi_alcohol,690501,1.415915764,70459.28571
1_10_5_30_015_HT,Heterogenous,30_015_B,1,10,5,30,BThu,42,cadinene_g,189994,1.198159065,17756.4486
1_10_5_30_015_HT,Heterogenous,30_015_B,1,10,5,30,BThu,13,artemisia_alcohol,0,0,0
1_10_5_30_015_HT,Heterogenous,30_015_B,1,10,5,30,BThu,10,artemisia_ketone,0,0,0
1_10_5_30_015_HT,Heterogenous,30_015_B,1,10,5,30,BThu,22,artemisyl_acetate_b,0,0,0
1_10_5_30_015_HT,Heterogenous,30_015_B,1,10,5,30,BThu,28,borneol,0,0,0
1_10_5_30_015_HT,Heterogenous,30_015_B,1,10,5,30,BThu,3,camphene,0,0,0
1_10_5_30_015_HT,Heterogenous,30_015_B,1,10,5,30,BThu,21,camphor,0,0,0
1_10_5_30_015_HT,Heterogenous,30_015_B,1,10,5,30,BThu,38,carvyl_acetate_Z,0,0,0
1_10_5_30_015_HT,Heterogenous,30_015_B,1,10,5,30,BThu,41,caryophyllene_b,0,0,0
1_10_5_30_015_HT,Heterogenous,30_015_B,1,10,5,30,BThu,25,chrysanthenol,0,0,0
1_10_5_30_015_HT,Heterogenous,30_015_B,1,10,5,30,BThu,17,chrysanthenone,0,0,0
