Block,Plot,Position,Plant,Chemotype,highest_shoot_cm,number_shoots,no_shoots_with_flowerbuds,no_shoots_with_flowerbuds_Rsa,no_leaves,Date,Person
5,9,5,24_026_A,Myrox,69.8,10,0,0,103,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,10,1,18_003_B,Myrox,59.8,3,0,0,109,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,10,2,23_006_B,BThu,79.6,6,2,2,116,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,10,3,06_041_B,Keto,67.2,11,0,0,80,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,10,4,07_021_B,Aacet,48.6,5,0,0,82,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
5,10,5,29_157_B,ABThu,81.6,2,0,0,65,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,1,1,09_035_B,ABThu,84.8,9,5,4,100,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,1,2,24_027_B,Myrox,54.4,3,0,0,41,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,1,3,08_040_B,Keto,47.2,1,0,0,36,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,1,4,06_013_B,BThu,82.2,3,0,0,76,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,1,5,23_046_B,Aacet,77.4,6,3,3,72,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,2,1,23_046_A,Aacet,74.2,4,2,2,77,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,2,2,07_022_A,Aacet,79.6,5,2,2,75,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,2,3,16_050_A,Aacet,59.2,7,0,0,39,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,2,4,07_038_A,Aacet,73.2,4,5,5,88,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,2,5,22_029_A,Aacet,55.8,5,0,0,58,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,3,1,07_022_B,Aacet,88.2,10,6,1,126,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,3,2,17_068_B,ABThu,82,7,0,0,82,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,3,3,23_027_B,BThu,77.6,4,0,0,63,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,3,4,24_007_B,Myrox,68.6,5,0,0,51,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,3,5,29_044_B,Keto,58.8,11,0,0,60,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,4,1,07_152_A,Myrox,64.2,3,2,2,69,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,4,2,24_027_A,Myrox,69.2,4,0,0,71,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,4,3,18_081_A,Myrox,37.8,3,0,0,21,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,4,4,24_007_A,Myrox,83.2,5,0,0,71,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,4,5,14_015_A,Myrox,75.8,8,0,0,71,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
